"id";"name";"num_affiliation";"primary_color";"secondary_color";"city"
11730;"CERC.A. VENETTE";526704;"#092669";"#ffffff";""
11731;"EFFORT LE MORNE VERT";526709;"#006400";"#ffffff";""
11732;"ILE ST DENIS C.S. MUNICIPAL";526710;"#FFD41C";"#092669";""
11733;"ESC DU XVÈME";526713;"#ffffff";"#000000";""
11734;"F.C.GENERAUDIERE ROCHE SUD";526720;"#006400";"#FFD41C";""
11735;"F.C. LAMOTHE";526727;"#dc143c";"#000000";""
11736;"PORTUGAL F.C. CLERMONT AUBIERE";526731;"";"";""
11737;"U.S. LAPEYROUSE";526733;"#FFD41C";"#000000";""
11738;"U.S. LOUBEYRAT";526734;"#006400";"#ffffff";""
11739;"FOY.J. D  ETIVEY";526740;"#ffffff";"#092669";""
11740;"A.L.C. LONGVIC";526741;"#006400";"#000000";""
11741;"TOUILLON F. C.";526745;"#dc143c";"#000000";""
11742;"A.C. BAILLEAU LE PIN";526746;"#006400";"";""
11743;"U.S. PONTOISE ST. DENIS LES PONTS";526748;"#092669";"";""
11744;"AM.LAIQ.S. CHAMPNETERY";526761;"#006400";"#ffffff";""
11745;"A.S. COURSAC FOOT";526763;"#092669";"#ffffff";""
11746;"STE EDUC.POP.C. EXIREUIL";526765;"#092669";"#ffffff";""
11747;"U.S. ORCHES";526770;"#ffffff";"#dc143c";""
11748;"ST. RUFFEC";526779;"#dc143c";"#ffffff";""
11749;"U.S. SORNAC";526784;"#006400";"";""
11750;"MOISSANNES C.SP.L.";526786;"#dc143c";"#ffffff";""
11751;"S. REUNIS SARRALTROFF";526798;"#006400";"#ffffff";""
11752;"C.O.S. VILLERS LES NANCY";526804;"#092669";"#dc143c";""
11753;"RENAISSANCE S. LA MAXE";526805;"#FFD41C";"#000000";""
11754;"F.C. DE BILIEU";526807;"#dc143c";"#ffffff";""
11755;"A. S. DE CHAUSSETERRE LES SALLES";526809;"#FFD41C";"";""
11756;"A.S. BELLECOUR PERRACHE LYON";526814;"#dc143c";"#ffffff";""
11757;"AV.S. PONT A VENDIN";526818;"#FFD41C";"#000000";""
11758;"A.C. MONS EN BAROEUL";526821;"#FFD41C";"#000000";""
11759;"ENT.S. LAMBRES LEZ DOUAI";526822;"#006400";"";""
11760;"F.C. ESTEVELLES";526824;"#006400";"#ffffff";""
11761;"ET.S. ALLOUAGNE";526825;"#FFD41C";"#000000";""
11762;"F.C. LAUNOIS";526833;"";"";""
11763;"A.AM.S. ETRELLAISE";526848;"#006400";"";""
11764;"J.S. VOLNAYSIENNE";526853;"#FFD41C";"#092669";""
11765;"BAILLY NOISY STANDARD F.C.";526858;"#FFD41C";"#092669";""
11766;"JUZIERS F.C.";526859;"#dc143c";"#092669";""
11767;"BALLAINVILLIERS A.S.";526862;"#ffffff";"#dc143c";""
11768;"ET.S. ST ANDRE";526875;"#092669";"#ffffff";""
11769;"F.C. RAMATUELLOIS";526881;"#006400";"#FFD41C";""
11770;"U.S. ST SATURNINOISE";526890;"#dc143c";"#FFD41C";""
11771;"O.C. REDESSAN";526898;"#092669";"#ffffff";""
11772;"C.O. SOLEIL LEVANT NIMES";526901;"#FF6A00 ";"#000000";""
11773;"ESP. LOZERIEN LE BLEYMARD";526910;"#dc143c";"#ffffff";""
11774;"U.S. ARTZENHEIM";526915;"#dc143c";"#000000";""
11775;"F.C. RODEREN";526917;"#FFD41C";"";""
11776;"A. S. DE LA FONTAINE D  OUCHE";526918;"#FFD41C";"#dc143c";""
11777;"ECUREUILS FRANC ROSIER";526932;"#dc143c";"#ffffff";""
11778;"C.S. PONT DE DORE";526934;"#FF6A00 ";"#000000";""
11779;"C.OM. COHADE";526939;"#092669";"#ffffff";""
11780;"J.S. DE ST REVERIEN";526941;"#FFD41C";"#006400";""
11781;"C. DES J. VERGIGNY F.";526949;"#092669";"#dc143c";""
11782;"A.S. BOISMORAND";526952;"#dc143c";"";""
11783;"ENT. NANCRAY CHAMBON NIBELLE";526955;"#ffffff";"#092669";""
11784;"A.S. CHAUMONT S/LOIRE";526957;"#dc143c";"";""
11785;"ET.S. LOUZY";526961;"#dc143c";"#ffffff";""
11786;"A. S. MOSNAC";526972;"#dc143c";"#092669";""
11787;"U.S. VIEILLEVILLOISE";526974;"#dc143c";"#ffffff";""
11788;"BREUIL MAGNE F.C.";526976;"#FFD41C";"#000000";""
11789;"FOOTBALL CLUB ST HILAIRE DE VILLEFRANCHE";526982;"#FFD41C";"#000000";""
11790;"AM. DE CHANTEHEUX";526988;"#006400";"";""
11791;"UNION SPORTIVE LE BOUCHAGE - PASSINS";527000;"#FFD41C";"#092669";""
11792;"C.OM. COUTOUVRE";527001;"#006400";"#092669";""
11793;"F.C. BELLE ETOILE MERCURY";527005;"";"";""
11794;"U.S. ROCHEMAURE";527007;"#092669";"#ffffff";""
11795;"A.S. ST TRICAT ET NIELLES CALAIS";527011;"#000000";"#696969";""
11796;"O.C. FORT MARDYCK";527012;"#dc143c";"#ffffff";""
11797;"A.S. DU FOOTBALL LOOBERGHE";527015;"#006400";"#ffffff";""
11798;"U.S. BOURTHES";527018;"#006400";"";""
11799;"DIABLES ROUGES LAMBRES LES AIRE";527023;"#dc143c";"";""
11800;"U.S. DIZY";527034;"#dc143c";"#000000";""
11801;"A.J. VALLEE L  OURCE";527041;"#092669";"#ffffff";""
11802;"SAINT SEBASTIEN F.";527047;"#006400";"#ffffff";""
11803;"LES TOROS PLOUNEVEZEL";527065;"#dc143c";"#000000";""
11804;"ET.S. LE FOEIL";527066;"#ffffff";"";""
11805;"LES BLEUETS NEANTS S/YVEL";527069;"#092669";"";""
11806;"STE GEMMES SPORTS";527070;"#FFD41C";"#000000";""
11807;"A.S. BRANDIVY";527072;"#dc143c";"#000000";""
11808;"AUBERVILLIERS C.";527078;"#092669";"#ffffff";""
11809;"ST CHARLES O. PARIS";527088;"#FF6A00 ";"#000000";""
11810;"PORTUGAIS VERNEUIL U.S.";527089;"#092669";"#ffffff";""
11811;"MONTESSON U.S.";527093;"#092669";"#FFD41C";""
11812;"U.S. BALAGNY ST EPIN";527101;"#ffffff";"#000000";""
11813;"U.S. FOUQUENIES";527103;"";"";""
11814;"F.C. CAUFFRY";527107;"#006400";"#ffffff";""
11815;"A.S. CITERNES";527112;"#006400";"";""
11816;"EOURES CAMOINS TREILLE S.";527120;"#006400";"#ffffff";""
11817;"U.  S. THOROISE";527126;"#006400";"#ffffff";""
11818;"TRINITE SPORTS FOOTBALL CLUB";527127;"#FFD41C";"#092669";""
11819;"U. S. ARTHEZ D  ASSON";527155;"#dc143c";"#ffffff";""
11820;"O. PORTUGAIS MEHUN S/YEVRE";527177;"#dc143c";"";""
11821;"CASTELSARRASIN GANDALOU F.C.";527193;"#dc143c";"#ffffff";""
11822;"U.S.A. PEZENOISE";527203;"#dc143c";"#000000";""
11823;"POINTIS INARD O.C.";527204;"#FFD41C";"#000000";""
11824;"A.S. ST ARAILLE";527207;"#dc143c";"#092669";""
11825;"U.S. SALHERSIENNE";527209;"#FF6A00 ";"#000000";""
11826;"SOREZE F.C.";527210;"#dc143c";"#ffffff";""
11827;"A.S. TOULOUSE MIRAIL";527214;"#092669";"#ffffff";""
11828;"F.C. EMMERIN";527215;"#092669";"";""
11829;"U.S. ELINGHEN FERQUES";527216;"#092669";"#ffffff";""
11830;"F.C. BELLEBRUNE";527217;"#092669";"";""
11831;"ST THOIS SP.";527227;"#dc143c";"#ffffff";""
11832;"A.S. MOURENX BOURG";527235;"#FF6A00 ";"#000000";""
11833;"F.C. ST DIDIER SS/AUBENAS";527245;"#dc143c";"#000000";""
11834;"F.C. DES FORGES D  AUDINCOURT";527254;"#FFD41C";"#000000";""
11835;"U.S. DOMESSIN";527260;"";"";""
11836;"MACON FOOTBALL CLUB";527265;"";"";""
11837;"ST BRICE F.C.";527269;"#006400";"#ffffff";""
11838;"ST GERMAIN SAINTRY ST PIERRE F.C.";527270;"#092669";"#ffffff";""
11839;"BARCELONNETTE F.C.";527273;"#dc143c";"#FFD41C";""
11840;"U.S. UHLWILLER";527274;"#dc143c";"#000000";""
11841;"U.S. VRON";527289;"#000000";"#FFD41C";""
11842;"ENT.S. BRETONVILLERS CHARMOILLE";527293;"#ffffff";"#092669";""
11843;"A.S. MONTREUIL LE GAST";527303;"#dc143c";"#ffffff";""
11844;"F.C. HETTANGE GRANDE";527314;"#ffffff";"#092669";""
11845;"AM.S.C. AUREILHAN";527316;"#FF6A00 ";"#092669";""
11846;"E.S. HELFAUT";527321;"#092669";"#ffffff";""
11847;"A.S. PFULGRIESHEIM";527325;"#092669";"#ffffff";""
11848;"J.S. CHAMPBORNOISE";527327;"#ffffff";"#000000";""
11849;"J.S. ST PIERROISE";527328;"#ffffff";"#000000";""
11850;"U.S. MAISONS";527338;"#006400";"";""
11851;"A.S. OFFWILLER";527340;"#dc143c";"";""
11852;"F.C. OLBY-CEYSSAT-MAZAYES";527342;"#FFD41C";"#092669";""
11853;"F.C. KUTZENHAUSEN";527350;"#FFD41C";"#006400";""
11854;"AM. FRANCO PORTUGAISE LIMOGES";527359;"#092669";"#ffffff";""
11855;"A.S. PORTUGAIS CHATELLERAULT";527361;"#dc143c";"#ffffff";""
11866;"U.S. ATTICHES";527364;"#FFD41C";"#000000";""
11867;"R.C. BREQUERECQUE ET OSTROHOVE";527365;"#006400";"#FFD41C";""
11868;"U.S. BUGALLIERE ORVAULT";527371;"#FF6A00 ";"#000000";""
11869;"U.S. VILLARS";527379;"#dc143c";"#ffffff";""
11870;"U.S. RIVERAINE GD RIVIERE";527389;"#092669";"#ffffff";""
11871;"A.S. SAUVESSANGEOISE";527395;"#006400";"#FF6A00 ";""
11872;"U.S. CANTON CHARNY";527396;"#006400";"#ffffff";""
11873;"A.S. MANISSIEUX ST PRIEST";527399;"#FFD41C";"#000000";""
11874;"F.C. VILLARGONDRAN";527400;"";"";""
11875;"A.EDUC.POP. VERDREL";527402;"#092669";"#ffffff";""
11876;"A.S. MOUSTOIR REMUNGOL";527406;"#006400";"#ffffff";""
11877;"US ST ARMEL LE HEZO";527408;"#006400";"";""
11878;"MOULAY SP.";527412;"#dc143c";"#000000";""
11879;"DOMLOUP SP.";527415;"#092669";"#ffffff";""
11880;"A.S. TREFFLEAN";527418;"#092669";"#ffffff";""
11881;"E.S. PFETTISHEIM";527426;"#092669";"#ffffff";""
11882;"A.S. ST PIERRE EYNAC";527434;"#092669";"#ffffff";""
11883;"A.S. CELLULE";527435;"#dc143c";"#ffffff";""
11884;"U.S. TOUCYCOISE";527437;"#dc143c";"#FFD41C";""
11885;"A.S. PORTUGAISE MER";527443;"#092669";"#ffffff";""
11886;"J.S. CASTELLEVEQUOIS";527446;"#006400";"#ffffff";""
11887;"U.S. MARIGNY ST LEGER";527451;"#006400";"#ffffff";""
11888;"A.S. ST SULPICE LE GUERETOIS";527459;"#dc143c";"#ffffff";""
11889;"ESP. LA GENEYTOUSE";527460;"#FF6A00 ";"#000000";""
11890;"A.S. MOUTERHOUSE";527465;"#006400";"#ffffff";""
11891;"F.C. FARSCHVILLER";527466;"#092669";"";""
11892;"VIOLETTE S. AUCAMVILLE";527484;"#4b0082";"#ffffff";""
11893;"A.S. VILLEPINTOIS";527488;"#092669";"#dc143c";""
11894;"ST NAUPHARY A.C.";527491;"#FF6A00 ";"#000000";""
11895;"F.C. ST MARTIN LA VEUVE RECY";527497;"#092669";"#ffffff";""
11896;"A.S. FYE";527501;"#dc143c";"";""
11897;"A.S. SCRIGNAC";527502;"#092669";"#ffffff";""
11898;"A.S.C. VAL D  AUTOMNE";527508;"#006400";"#FFD41C";""
11899;"SEPTMONTS O.C.";527510;"#ffffff";"#092669";""
11900;"A.S. PROUZEL-PLACHY";527513;"#FFD41C";"#000000";""
11901;"F.C. AUREILLOIS";527518;"#FFD41C";"#092669";""
11902;"U. DES JEUNES DE REDOUTE";527526;"#ffffff";"#FFD41C";""
11903;"U.S. OBERLAUTERBACH";527527;"#FF6A00 ";"#000000";""
11904;"F.C. STOCKFELD COLOMBES";527530;"#092669";"#ffffff";""
11905;"U.S. CRISSOTINE";527544;"#006400";"#ffffff";""
11906;"J.S. DE SIMARD";527548;"#dc143c";"";""
11907;"U.S. ST. CYR EN VAL";527554;"#092669";"";""
11908;"A.S. STE. CATHERINE DE FIERBOIS";527556;"#006400";"#ffffff";""
11909;"A.S.C. BOUTIGNY PROUAIS";527559;"#dc143c";"";""
11910;"A.S. THIRON GARDAIS";527562;"#ffffff";"#006400";""
11911;"A.S. VARENNES CHANGY";527563;"#006400";"";""
11912;"A.S. LAURENTINE";527573;"#dc143c";"#ffffff";""
11913;"ANTRAN S.L.";527576;"#006400";"#ffffff";""
11914;"C.S. PORTUGAIS POITIERS";527584;"#000000";"#ffffff";""
11915;"F.C. GRANGES S/VOLOGNE";527600;"#FFD41C";"#092669";""
11916;"A.S.C. OETING";527601;"#006400";"#ffffff";""
11917;"A.S. AY S/MOSELLE";527602;"#dc143c";"#000000";""
11918;"A.S. HELLIMER";527605;"#dc143c";"#000000";""
11919;"FOY.RUR. MOULINS CHERIER";527609;"#092669";"";""
11920;"U.S. NANTUATIENNE";527613;"#092669";"#ffffff";""
11921;"A.S. VILLERS";527615;"#092669";"#FFD41C";""
11922;"A.S. ITALIENNE ANNECY";527616;"#FFD41C";"";""
11923;"ET. S. CLUSIENNE";527621;"#dc143c";"#ffffff";""
11924;"AM.S. LA GROSNE OUROUX";527623;"#FFD41C";"#000000";""
11925;"FC BEAUFORTIN QUEIGE";527624;"";"";""
11926;"A.S. VERTRIEU";527633;"#FFD41C";"#000000";""
11927;"A.S.ET. DE BARBAZAN DEBAT C.";527636;"#092669";"#ffffff";""
11928;"C. INTER JEUNES VILLAUDRICAIN";527638;"#dc143c";"#ffffff";""
11929;"J.ENT. TOUL. CROIX DAUR";527639;"#FF6A00 ";"#000000";""
11930;"F.C. DE LISSAC ET MOURET";527643;"#000000";"#FFD41C";""
11931;"S. BENFICA GRAULHET";527645;"#dc143c";"#ffffff";""
11932;"AM.S. SAILLY LABOURSE";527651;"#dc143c";"#000000";""
11933;"U.S. HESDIN L  ABBE";527656;"#FFD41C";"#006400";""
11934;"A.S. EDUC.POP. ST INGLEVERT";527657;"#006400";"#ffffff";""
11935;"F.C. FERIN";527660;"#000000";"#ffffff";""
11936;"ENT. STEENBECQUE MORBECQUE";527663;"#006400";"#ffffff";""
11937;"J.S. RACQUINGHEM";527664;"#092669";"#ffffff";""
11938;"AM.S. CHATEAU L  ABBAYE";527667;"#FFD41C";"#000000";""
11939;"U.S. POLINCOVE";527668;"#ffffff";"#092669";""
11940;"ET.S. MUNICIPALE HAMEL";527669;"#dc143c";"";""
11941;"F.C. STEENE";527670;"#FFD41C";"#000000";""
11942;"F.C. TRAINEL";527672;"#006400";"#000000";""
11943;"FOY.EDUC.POP. DE GUICHAINVILLE";527683;"#FF6A00 ";"#000000";""
11944;"U.S. DE ST-GERMAIN LA CAMPAGNE";527685;"";"";""
11945;"U.S. COUTERNE HALEINE TESSE FROU";527687;"";"";""
11946;"A.S. DE BERIGNY-CERISY";527693;"#dc143c";"";""
11947;"MAISON S.L. GARCELLES SECQUEV.";527694;"#092669";"#dc143c";""
11948;"OL. DE MEZANGERS";527699;"#092669";"";""
11949;"U.S. ST JEAN S/VILAINE";527705;"#092669";"";""
11950;"E.S. COUDRECIEUX";527707;"#092669";"#FFD41C";""
11951;"GARDE DU PONT MARZAN";527710;"#dc143c";"#000000";""
11952;"J.S. SEVIGNAC ROUILLAC";527711;"";"";""
11953;"JEANNE D  ARC SOULGE S/ OUETTE";527714;"#092669";"";""
11954;"AV.S. MONTERREIN";527716;"#dc143c";"#ffffff";""
11955;"LA RAQUETTE TREMEOC";527717;"#dc143c";"#ffffff";""
11956;"J.S. BOISGERVILLY";527718;"#FFD41C";"#006400";""
11957;"F.C. LOUPLANDE";527721;"#FFD41C";"#000000";""
11958;"FONTENAY EN PARISIS FC";527726;"#FF6A00 ";"#000000";""
11959;"SERVON F.C.";527727;"#092669";"#FFD41C";""
11960;"VALENTON FOOTBALL ACADEMY";527735;"#092669";"#ffffff";""
11961;"PLESSIS PATE E.S.";527742;"#dc143c";"#ffffff";""
11962;"MONTIGNY LE BRETONNEUX A.S.";527743;"#006400";"#ffffff";""
11963;"LE PIN VILLEVAUDE A.S.";527744;"#FF6A00 ";"#000000";""
11964;"PORTUGAIS ST MICHEL S/ORGE GS";527751;"#000000";"#ffffff";""
11965;"MENUCOURT A.S.";527755;"#092669";"";""
11966;"SEVRES F.C. 92";527758;"#092669";"#ffffff";""
11967;"A. S. BUCHELOISE";527759;"#696969";"#092669";""
11968;"MAY EN MULTIEN F.C";527765;"#006400";"";""
11969;"A.S. QUERRIEU";527771;"#dc143c";"";""
11970;"FOY.J.EDUC.POP. COINCY";527773;"#006400";"";""
11971;"A.S. LES PIERROTS DE TEYRAN";527784;"#dc143c";"#000000";""
11972;"ROUSSILLON F. CANOHES TOULOUGES";527791;"#FFD41C";"#dc143c";""
11973;"LES INTREPIDES NORRENT FONTES";527797;"#006400";"#ffffff";""
11974;"ENT.S. PIERREDON MOURIES";527808;"#ffffff";"#dc143c";""
11975;"A.S. VALERGUOISE";527810;"#092669";"#FFD41C";""
11976;"PEYREHORADE S. SECTION F.";527825;"#006400";"#ffffff";""
11977;"U.S. OS MARSILLON";527827;"#FF6A00 ";"#000000";""
11978;"A.S. MON PITO";527833;"#092669";"";""
11979;"C.O. TRENELLE";527835;"#ffffff";"#dc143c";""
11980;"GOELANDS SAMMARITAINS";527836;"#FFD41C";"#006400";""
11981;"F.C. ST REMY";527840;"#006400";"#000000";""
11982;"U.S. PERNAY";527844;"#dc143c";"#000000";""
11983;"ENT. GENNETON";527850;"#092669";"#ffffff";""
11984;"AM. ST HILAIRE VENARSAL";527855;"#FF6A00 ";"#000000";""
11985;"A.S.S. PORTUGAIS LA ROCHELLE";527856;"#dc143c";"#006400";""
11986;"E.S. ST HIPPOLYTE";527857;"#092669";"#FFD41C";""
11987;"C.S. DE PASSENANS";527872;"#092669";"#ffffff";""
11988;"F.C. DE MOLAY";527877;"#006400";"#092669";""
11989;"ESP.S. DE NAISEY";527878;"#dc143c";"#000000";""
11990;"A. C. S. PORTUGAISE D AUDINCOURT";527884;"#dc143c";"#006400";""
11991;"F.C. DES QUATRE MONTAGNES";527889;"#ffffff";"#006400";""
11992;"A.ANIMATION J. ST ALBAN D  AY";527892;"#dc143c";"#ffffff";""
11993;"ENT.S. OYE PLAGE";527894;"#092669";"#ffffff";""
11994;"O. ST OLLE";527896;"#dc143c";"";""
11995;"A.F.SP. REUNIS LOMME DELIVRANCE";527898;"#dc143c";"#ffffff";""
11996;"LA FRANCHEVILLE U.S.";527904;"#dc143c";"";""
11997;"LE THEUX F.C.";527905;"";"";""
11998;"ST. PORTUGAIS ST QUENTIN";527916;"#006400";"";""
11999;"S.A. ST SEVERIN";527927;"#ffffff";"#000000";""
12000;"F.C. DES PORTUGAIS SELLES S/CHER";527929;"#092669";"#ffffff";""
12001;"A.S. OUZILLY";527933;"#dc143c";"#ffffff";""
12002;"GPE S. FRANCO PORTUGAIS ANGOULEM";527934;"#FFD41C";"#092669";""
12003;"ENT. FONS FOURMAGNAC CAMBURAT";527945;"#ffffff";"#dc143c";""
12004;"A.S. PONT DE NIEPPE";527965;"#FF6A00 ";"#000000";""
12005;"F.C. HANNAPES";527974;"#ffffff";"#092669";""
12006;"U.S. BRISSY HAMEGICOURT";527975;"#092669";"";""
12007;"ST PATHUS OISSERY ENT.S.";527984;"#006400";"#ffffff";""
12008;"PLAISIROIS F.O.";527985;"#FFD41C";"";""
12009;"GRANDE PAROISSE U.S.";527992;"#dc143c";"#000000";""
12010;"ETANG ST NOM E.S.";527993;"#dc143c";"#ffffff";""
12011;"F.C. HADOL DOUNOUX";528002;"#006400";"#ffffff";""
12012;"A.S. ST LOUISIENNE";528018;"#006400";"";""
12013;"F.C. ST JUST PRES BRIOUDE";528020;"#FFD41C";"#092669";""
12014;"C.S. CHEVROUX";528069;"#dc143c";"#092669";""
12015;"EQUIHEN U.S.";528070;"#FFD41C";"#000000";""
12016;"F.C. TRAVECY";528071;"#006400";"#000000";""
12017;"F.C. PORTO PORTUGAIS AMIENS";528073;"#ffffff";"#092669";""
12018;"U.S. GAREIN";528074;"#FFD41C";"#000000";""
12019;"OCEANIC C. LE LORRAIN";528075;"#006400";"#dc143c";""
12020;"F. C.  DE ST JULIEN DU SAULT";528085;"#000000";"#dc143c";""
12021;"SP.C. CHALETTE S/LOING";528086;"#006400";"";""
12022;"A.S. FURIANI AGLIANI";528089;"#dc143c";"#FFD41C";""
12023;"STE OM. IPPLING";528090;"#FF6A00 ";"#000000";""
12024;"A.S. NEUFCHEF";528099;"#092669";"";""
12025;"ESP.S. PIROU";528107;"#FFD41C";"";""
12026;"J.S. ARNIERES";528112;"#092669";"";""
12027;"AM.S. ST JEAN BREVELAY";528118;"";"";""
12028;"FOY.OM.LAIQ.C. LORIENT OUEST";528119;"#092669";"#FFD41C";""
12029;"ST. LANDERNEEN";528122;"#dc143c";"#000000";""
12030;"BONDOUFLE AM.C.";528130;"#dc143c";"#092669";""
12031;"GRI-GRI PILOTIN F.C.";528134;"#dc143c";"#000000";""
12032;"F.C. TRAUBACH";528135;"#092669";"";""
12033;"U.S. COLMAR";528137;"#ffffff";"";""
12034;"S. REUNIS WIDENSOLEN";528139;"#006400";"#ffffff";""
12035;"A.S. PORTUGAIS SELESTAT";528140;"#dc143c";"#006400";""
12036;"AMILLY F.C.";528148;"#dc143c";"";""
12037;"U.S. ETAGNAC";528157;"#dc143c";"";""
12038;"M.J.C. VOLMERANGE LES BOULAY";528182;"#dc143c";"#092669";""
12039;"A.C.L. MABLY";528189;"#FFD41C";"#092669";""
12040;"O. HEMOIS";528194;"#FF6A00 ";"#000000";""
12426;"ET. ST ROCH PONTCHATEAU";527392;"#FFD41C";"#000000";""
12441;"C.OM. SOLOGNOT MARCILLY EN VILL.";527442;"#FFD41C";"";""
12443;"F.C. VILLIERS SUR LOIR";527444;"#4b0082";"";""
12450;"MAYOLLET S.L. ROANNE";527474;"#006400";"";""
12979;"F.C. DE PREY";528206;"";"";""
12980;"F.C. HARCOURT";528209;"#092669";"";""
12981;"A.S. DE LA FRENAYE";528211;"#092669";"";""
12982;"A. S. CELTIC DE L  HYERES LOCARN";528212;"#092669";"#dc143c";""
12983;"ET.S. DU FROUT ST AGATHON";528213;"#dc143c";"#ffffff";""
12984;"LES PAOTRED DU TARUN";528214;"#dc143c";"#ffffff";""
12985;"F.C. ST PERREUX";528216;"#dc143c";"#000000";""
12986;"A. S. ARARAT ISSY";528217;"#ffffff";"";""
12987;"AM.S. MONTCHEVREUIL";528228;"#FF6A00 ";"#000000";""
12988;"AM.S. LAIGNEVILLE";528230;"#4b0082";"";""
12989;"J.S. JUAN LES PINS";528236;"#092669";"#FFD41C";""
12990;"A.S. SIGOLSHEIM";528245;"#006400";"#000000";""
12991;"LA CHAPELAINE - CHAPELLE/ERDRE";528254;"#006400";"";""
12992;"A.S. ST MAIXENT S/VIE";528257;"#006400";"#ffffff";""
12993;"NOLHAC F.C.";528262;"#ffffff";"#000000";""
12994;"ENT.S. D  ARFEUILLES";528263;"#092669";"#ffffff";""
12995;"E.S. SAURET BESSERVE";528264;"#FFD41C";"#006400";""
12996;"J.S. APCHONNAISE";528267;"#ffffff";"#dc143c";""
12997;"O.C. DE MONETAY S/ALLIER";528269;"#092669";"#ffffff";""
12998;"F.C. D  HURIGNY";528274;"#ffffff";"#092669";""
12999;"ALL.S. ST BRIS LE VINEUX";528275;"#FFD41C";"#092669";""
13000;"U.S. VERMENTONNAISE";528277;"#dc143c";"#092669";""
13001;"A.S. SAVIGNY L  EVESCAULT";528325;"#006400";"#ffffff";""
13002;"A.S. APPENANS MANCENANS";528336;"#dc143c";"";""
13003;"A. S. MARTEL CALUIRE";528347;"#092669";"#ffffff";""
13004;"ENT.S. DYONISIENNE ST DENIS";528350;"#006400";"#ffffff";""
13005;"O. DE VAULX EN VELIN";528353;"#092669";"#ffffff";""
13006;"A.S. ALBOUSSIERE";528354;"#000000";"#006400";""
13007;"A. S. DE DOMARIN";528356;"#092669";"#ffffff";""
13008;"A.S. ST HANOISE";528360;"#006400";"#FFD41C";""
13009;"A.S. VILLEFONTAINE";528363;"#000000";"#006400";""
13010;"A.S. PORTUGAISE VAULX EN VELIN";528368;"#006400";"#ffffff";""
13011;"F.C. GRAULHETOIS";528373;"#092669";"#ffffff";""
13012;"F.C. MASNY";528383;"";"";""
13013;"CALAIS BEAU MARAIS F.";528384;"#006400";"";""
13014;"FOY.J.EDUC.POP. FORT VERT";528385;"#006400";"#000000";""
13015;"A.S. RADINGHEM";528387;"#092669";"";""
13016;"F.C. ISQUES";528388;"#000000";"#ffffff";""
13017;"O.C. COJEUL";528389;"#dc143c";"#ffffff";""
13018;"R.C. LABOURSE";528391;"#092669";"#ffffff";""
13019;"U.C.S. DES PORTUGAIS DE ROMILLY";528397;"#dc143c";"#ffffff";""
13020;"LA GRANDVILLE SP.";528401;"";"";""
13021;"A.S. LUMES";528402;"#FF6A00 ";"#000000";""
13022;"F.C. LE VAL ST PERE";528409;"#dc143c";"#ffffff";""
13023;"ST. URVILLE NACQUEVILLE";528412;"#FF6A00 ";"#000000";""
13024;"F.C. CHATEAU GONTIER";528431;"#006400";"";""
13025;"LOPEREC SP.";528437;"#006400";"#092669";""
13026;"ENT.S. NOYAL";528441;"#FFD41C";"#000000";""
13027;"BEYNES F.C.";528448;"#FFD41C";"#000000";""
13028;"VILLEJUST AVENIR";528454;"#dc143c";"";""
13029;"OTHIS C.O.";528460;"#092669";"#FFD41C";""
13030;"MESNIL LE ROI A.S.";528461;"#092669";"#ffffff";""
13031;"BREUILLOISE AS";528468;"#092669";"#FFD41C";""
13032;"BENFICA ACHERES A.P.";528469;"#dc143c";"#ffffff";""
13033;"BESSE S.";528479;"#FFD41C";"#000000";""
13034;"J.S.O. AUBORD";528488;"#dc143c";"#ffffff";""
13035;"O. CUXAC D  AUDE";528505;"#006400";"#ffffff";""
13036;"AR.S. JUVIGNAC";528507;"#dc143c";"#000000";""
13037;"A.S.MONTARNAUD ST PAUL VAIHAUQUES MURVIEL";528515;"#092669";"#ffffff";""
13038;"F.C. VIGNERES";528518;"#006400";"#ffffff";""
13039;"F.C. DE LIMEUIL";528532;"#FFD41C";"#000000";""
13040;"AM.LAIQ. POEY DE LESCAR";528537;"#006400";"#ffffff";""
13041;"A.S. CHAMBERY";528538;"#092669";"#ffffff";""
13042;"USC FRANCO PORTUGAISE  GARCHIZY";528555;"#006400";"#dc143c";""
13043;"A.S. LES SAUVAGES";528570;"#092669";"";""
13044;"A.S. LA SANNE ST ROMAIN DE SURIE";528571;"#FFD41C";"#000000";""
13045;"F.C. BEAUZELLE";528589;"#006400";"#ffffff";""
13046;"U.S. ATHEE";528601;"#092669";"#ffffff";""
13047;"A.S. MARTIGNY";528614;"#dc143c";"";""
13048;"U.S. PAILLART";528616;"#006400";"";""
13049;"U.S. ST MAXIMIN";528618;"#092669";"";""
13050;"C.S. AUBENTON";528620;"#092669";"";""
13051;"A.C. AUZON AZERAT";528642;"#dc143c";"#006400";""
13052;"E.S. ST JEURE D  AY";528652;"#FF6A00 ";"#006400";""
13053;"A.S. MONTAGNY";528654;"";"";""
13054;"UNION CLUBS DIVIONNAIS";528660;"#000000";"";""
13055;"BOISDINGHEM ZUDAUSQUES MENTQUE NORTBECOURT ENT. SP";528666;"#dc143c";"";""
13056;"U.S. NIELLES LES BLEQUIN";528667;"#FFD41C";"#092669";""
13057;"A.S. SURQUES ESCOEUILLES";528668;"#FF6A00 ";"";""
13058;"ULIS C.O.";528671;"#092669";"";""
