"id";"name";"num_affiliation";"primary_color";"secondary_color";"city"
137;"S.C. STE CROIX DU MONT";500246;"#dc143c";"#FFD41C";""
138;"PARIS SAINT GERMAIN F.";500247;"#092669";"#dc143c";""
139;"ST. DE GRAND QUEVILLY";500248;"#006400";"#000000";""
140;"VALENCIENNES F.C.";500250;"#dc143c";"#ffffff";""
141;"U.S.F. FECAMP";500252;"#dc143c";"#000000";""
142;"S.C. ABBEVILLE COTE PICARDE";500253;"#092669";"#dc143c";""
143;"U.S. JOIGNY";500255;"#ffffff";"#092669";""
144;"U.S. BRETEUIL";500256;"#092669";"#000000";""
145;"ST. ST BARBE LA GRAND COMBE";500257;"#dc143c";"#092669";""
146;"U.M.P. FOOTBALL ST NAZAIRE";500258;"#006400";"#000000";""
147;"S.C. DORMANS";500259;"#4b0082";"#ffffff";""
148;"U.S. DE CHANTILLY";500260;"#006400";"#dc143c";""
149;"A. DES SPORTS DE CHELLES";500264;"#ffffff";"#092669";""
150;"S.C. BOURBOURG";500265;"#FFD41C";"#000000";""
151;"C.S. SEDAN ARDENNES";500266;"#006400";"#dc143c";""
152;"R.C. ANCENIS-SAINT-GÉRÉON";500268;"#FF6A00 ";"#000000";""
153;"F.C. BARENTINOIS";500271;"#006400";"#000000";""
154;"FOOTBALL CLUB LUNEVILLE";500274;"#ffffff";"#000000";""
155;"U. HALLUINOISE";500276;"#FFD41C";"#092669";""
156;"LES CARABINIERS DE BILLY MONTIGN";500277;"#dc143c";"#ffffff";""
157;"F.C.O. ST. JEAN DE LA RUELLE";500281;"#dc143c";"#000000";""
158;"A.S. DE VALENTIGNEY";500282;"#ffffff";"#dc143c";""
159;"J.S. DESVRES";500283;"#006400";"#dc143c";""
160;"U.S. QUIMPERLOISE";500284;"#ffffff";"#dc143c";""
161;"C. MUNICIPAL S. D  OISSEL";500286;"#092669";"";""
162;"C.A. PITHIVIERS";500287;"#4b0082";"";""
163;"ENT.S. PETITE ROSSELLE";500288;"#ffa500";"#092669";""
164;"U.S. MONTREUIL S/MER";500292;"#092669";"#FFD41C";""
165;"U.S. MONTAGNACOISE";500294;"#dc143c";"#ffffff";""
166;"A.S. BERCK PLAGE";500295;"#000000";"#ffffff";""
167;"AV.S. VARANGEVILLE ST-NICOLAS";500297;"#006400";"#dc143c";""
168;"R.C. DOULLENS";500299;"#dc143c";"#ffffff";""
169;"ENT.S. THAONNAISE";500300;"#092669";"";""
170;"A.S. NANCY LORRAINE";500302;"#ffffff";"";""
171;"F.C. SOCHAUX MONTBELIARD";500303;"#092669";"";""
172;"J.A. ARMENTIERES";500305;"#FFD41C";"#092669";""
173;"F.C. ST ETIENNE DU ROUVRAY";500307;"#dc143c";"#092669";""
174;"U.S. CONCARNOISE BEUZECQUOISE";500308;"#092669";"#dc143c";""
175;"AM.S. ST SAUVEUR";500314;"#dc143c";"#ffffff";""
176;"O. AMIENS";500317;"#FFD41C";"#4b0082";""
177;"U.S. CORBIE";500318;"#ffffff";"#000000";""
178;"F.C. TARARE";500319;"#dc143c";"";""
179;"C.S. THILLOTIN";500323;"#dc143c";"#ffffff";""
180;"UNION SPORTIVE ANNEMASSE/GAILLARD";500324;"#ffffff";"#092669";""
181;"A.C. ST ROMAIN DE COLBOSC";500326;"#006400";"#ffffff";""
182;"A.S. DE MONTIVILLIERS";500328;"#dc143c";"#ffffff";""
183;"ST. LEONARD KREISKER";500329;"#dc143c";"";""
184;"F .C. OLYMPIQUE STRASBOURG KOENIGSHOFFEN 1906";500331;"";"";""
185;"LE TOUQUET A.C.F. COTE D  OPALE";500332;"#ffffff";"#006400";""
186;"F.C. MONTCEAU BOURGOGNE";500335;"#dc143c";"";""
187;"SOLOGNE OLYMPIQUE ROMORANTIN";500338;"#006400";"#ffffff";""
188;"S.O. PONT DE CHERUY CHAVANOZ";500340;"#006400";"#000000";""
189;"ENT.C.A.F.C. PERONNE";500341;"#ffffff";"#dc143c";""
190;"S.C. DE CADAUJAC";500343;"#dc143c";"#000000";""
191;"C.S. BLENOD";500344;"#092669";"";""
192;"R.C. AMIENS";500345;"#092669";"";""
193;"U.S. DE CAZERES";500348;"#092669";"#000000";""
194;"S.C. ST THIBERIEN";500349;"#FFD41C";"#000000";""
195;"GRPE S. NEUVES MAISONS";500350;"#092669";"#FFD41C";""
196;"VELO S. FERTOIS";500351;"#dc143c";"";""
197;"SP.C. COGOLINOIS";500352;"#092669";"#ffffff";""
198;"U. MONTILIENNE S.";500355;"#dc143c";"#092669";""
199;"U.S. DOUDEVILLAISE";500356;"#dc143c";"#ffffff";""
200;"STADES REUNIS ST DIE KELLERMANN";500357;"#dc143c";"#000000";""
201;"A.C. AMBOISIEN AMBOISE";500358;"#dc143c";"#000000";""
202;"ST. VERNOLIEN";500359;"#092669";"";""
203;"C.OM. ST FONS";500361;"#ffffff";"#006400";""
204;"ST. DE PORTE NORMANDE VERNON";500362;"#dc143c";"#ffffff";""
205;"PAYS DE FONTAINEBLEAU R.C.";500364;"#ffffff";"#FFD41C";""
206;"AMICALE MONTEREAU A.S.";500365;"#ffffff";"#092669";""
207;"U. S. DU PAYS DE SAINT-OMER";500368;"#ffffff";"#000000";""
208;"R. C. LENS";500369;"#ff0000";"";""
209;"A.S. AIXE S/VIENNE";500370;"#4b0082";"#ffffff";""
210;"ENT. S. GERPONVILLE VALMONT";500371;"#092669";"#006400";""
211;"C.S. BONNEVILLOIS";500373;"#dc143c";"#ffffff";""
212;"U.S. RENAUDINE F.";500375;"#ffffff";"#4b0082";""
213;"ENT. PERRIER VERGEZE";500377;"#006400";"#ffffff";""
214;"CONTY LOEUILLY SP.C.";500379;"#dc143c";"#000000";""
215;"SP.C. MONTREDON BONNEVEINE";500381;"#092669";"#006400";""
216;"STADE DE L  EST PAVILLONNAIS";500382;"#ff0000";"";""
217;"U.S.F. PERENCHIES";500383;"#dc143c";"#ffffff";""
218;"J.S. SAINT NICOLAS D  ALIERMONT BETHUNE";500384;"#FFD41C";"#000000";""
219;"SP.C. AZAY LE RIDEAU /CHEILLE";500386;"#092669";"";""
